"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"Ago 1997","99.000","99.500","101.680","97.850","41.23K","-0.50%"
"Jul 1997","99.500","95.340","99.940","94.880","51.73K","4.30%"
"Jun 1997","95.400","95.200","96.200","94.370","22.41K","0.66%"
"May 1997","94.770","97.040","97.200","92.930","32.01K","-2.30%"
"Abr 1997","97.000","94.450","97.360","93.690","30.35K","2.68%"
"Mar 1997","94.470","94.960","96.300","93.850","28.15K","-0.45%"
"Feb 1997","94.900","92.920","95.730","92.780","33.35K","2.13%"
"Ene 1997","92.920","88.140","93.450","88.010","41.26K","5.76%"
"Dic 1996","87.860","87.880","89.200","87.700","27.44K","-0.02%"
"Nov 1996","87.880","87.270","87.930","85.950","28.01K","0.69%"
"Oct 1996","87.280","87.620","88.400","86.760","29.78K","-0.50%"
"Sep 1996","87.720","86.420","87.860","86.220","31.83K","1.60%"
"Ago 1996","86.340","85.760","86.940","85.680","31.66K","0.68%"
"Jul 1996","85.760","87.700","88.200","85.500","41.00K","-2.16%"
"Jun 1996","87.650","87.740","88.550","87.300","28.54K","-0.17%"
"May 1996","87.800","87.990","89.050","87.340","35.66K","-0.20%"
"Abr 1996","87.980","86.520","88.300","86.190","47.16K","1.78%"
"Mar 1996","86.440","86.190","87.170","86.010","32.36K","0.14%"
"Feb 1996","86.320","87.190","87.620","85.220","33.53K","-1.27%"
"Ene 1996","87.430","84.810","87.770","84.510","44.59K","3.06%"
"Dic 1995","84.830","85.230","85.610","84.460","18.20K","-0.63%"
"Nov 1995","85.370","83.670","85.440","83.280","36.66K","1.97%"
"Oct 1995","83.720","84.470","85.100","83.050","32.96K","-0.85%"
"Sep 1995","84.440","85.600","87.400","83.280","23.02K","-1.37%"
"Ago 1995","85.610","81.710","86.760","81.060","41.19K","4.80%"
"Jul 1995","81.690","81.690","82.900","81.150","24.63K","-0.05%"
"Jun 1995","81.730","82.800","83.700","81.400","22.98K","-1.14%"
"May 1995","82.670","82.070","85.200","80.650","42.09K","0.92%"
"Abr 1995","81.920","82.500","83.320","80.140","30.70K","-0.19%"
"Mar 1995","82.080","85.880","86.140","81.600","29.25K","-4.47%"
"Feb 1995","85.920","87.980","88.550","85.720","28.26K","-2.40%"
"Ene 1995","88.030","89.270","89.790","86.950","38.89K","-0.74%"
"Dic 1994","88.690","89.070","90.300","87.990","20.91K","-0.56%"
"Nov 1994","89.190","85.610","89.290","85.240","41.75K","3.98%"
"Oct 1994","85.780","87.910","88.560","84.950","42.10K","-2.53%"
"Sep 1994","88.010","89.800","89.800","87.120","30.51K","-1.93%"
"Ago 1994","89.740","89.380","90.500","87.470","52.69K","-0.39%"
"Jul 1994","90.090","89.710","90.840","86.850","47.76K","0.31%"
"Jun 1994","89.810","92.560","93.640","89.320","35.73K","-2.97%"
"May 1994","92.560","92.390","93.950","91.710","33.62K","0.33%"
"Abr 1994","92.260","94.700","95.880","91.830","39.90K","-1.40%"
"Mar 1994","93.570","94.700","95.520","93.250","35.30K","-1.16%"
"Feb 1994","94.670","95.900","97.440","94.430","46.38K","-1.35%"
"Ene 1994","95.970","97.630","97.850","95.500","52.17K","-1.53%"
"Dic 1993","97.460","96.450","97.580","94.940","26.71K","1.07%"
"Nov 1993","96.430","95.680","96.620","94.620","44.99K","0.76%"
"Oct 1993","95.700","93.560","96.000","91.770","54.84K","2.16%"
"Sep 1993","93.680","94.240","94.300","90.300","40.58K","-0.54%"
"Ago 1993","94.190","96.550","96.730","93.350","41.14K","-2.22%"
"Jul 1993","96.330","94.580","96.590","93.500","42.89K","1.79%"
"Jun 1993","94.640","89.130","95.340","88.920","38.36K","6.13%"
"May 1993","89.170","90.080","91.680","88.920","42.99K","-1.08%"
"Abr 1993","90.140","92.980","93.280","88.980","42.58K","-3.01%"
"Mar 1993","92.940","93.750","95.680","92.870","38.66K","-1.57%"
"Feb 1993","94.420","93.550","95.960","92.780","39.69K","1.12%"
"Ene 1993","93.370","94.150","94.970","90.780","50.54K","-0.53%"
"Dic 1992","93.870","91.100","94.200","88.630","31.35K","3.02%"
"Nov 1992","91.120","88.400","92.000","88.450","36.46K","3.09%"
"Oct 1992","88.390","82.710","88.800","82.640","35.28K","6.37%"
"Sep 1992","83.100","79.100","88.050","78.430","30.43K","5.03%"
"Ago 1992","79.120","82.650","83.200","78.950","32.59K","-4.20%"
"Jul 1992","82.590","84.780","85.090","81.500","49.99K","-2.58%"
"Jun 1992","84.780","87.450","88.100","84.340","50.04K","-3.11%"
"May 1992","87.500","90.250","90.350","86.960","56.60K","-3.13%"
"Abr 1992","90.330","90.760","91.820","89.280","65.86K","-0.61%"
"Mar 1992","90.880","89.570","92.950","89.000","60.49K","1.75%"
"Feb 1992","89.320","87.940","90.550","85.830","55.14K","1.03%"
"Ene 1992","88.410","84.470","89.730","83.870","76.10K","4.39%"
"Dic 1991","84.690","87.730","88.140","84.400","23.50K","-4.16%"
"Nov 1991","88.370","90.320","90.340","86.540","61.92K","-2.38%"
"Oct 1991","90.520","90.940","92.850","90.220","60.30K","-0.22%"
"Sep 1991","90.720","93.360","93.500","89.980","35.63K","-3.13%"
"Ago 1991","93.650","94.180","97.000","92.330","53.46K","-0.45%"
"Jul 1991","94.070","96.970","98.230","93.530","60.96K","-3.01%"
"Jun 1991","96.990","93.970","97.400","93.150","35.05K","3.87%"
"May 1991","93.380","91.740","94.200","91.020","66.44K","1.36%"
"Abr 1991","92.130","92.190","95.190","90.040","89.07K","-0.92%"
"Mar 1991","92.990","84.960","93.500","84.350","36.29K","10.24%"
"Feb 1991","84.350","82.610","84.530","80.600","34.61K","2.48%"
"Ene 1991","82.310","83.790","86.000","82.300","56.45K","-1.88%"
"Dic 1990","83.890","83.690","85.940","81.780","23.82K","1.01%"
"Nov 1990","83.050","83.830","83.850","81.460","32.12K","-0.61%"
"Oct 1990","83.560","85.650","86.100","82.200","57.53K","-3.42%"
"Sep 1990","86.520","86.740","87.540","84.700","31.99K","-0.38%"
"Ago 1990","86.850","87.760","89.220","85.100","41.39K","-0.66%"
"Jul 1990","87.430","91.170","91.320","87.370","49.78K","-4.59%"
"Jun 1990","91.640","92.980","93.480","91.580","37.18K","-1.58%"
"May 1990","93.110","93.470","93.610","90.700","29.79K","-0.18%"
"Abr 1990","93.280","94.840","94.900","92.970","34.81K","-0.98%"
"Mar 1990","94.200","93.860","95.440","93.260","34.07K","0.76%"
"Feb 1990","93.490","92.730","93.650","91.500","40.54K","0.72%"
"Ene 1990","92.820","93.800","95.420","92.250","60.83K","-1.18%"
"Dic 1989","93.930","96.610","96.810","93.150","17.67K","-2.48%"
"Nov 1989","96.320","98.470","99.410","96.120","50.07K","-2.12%"
"Oct 1989","98.410","98.800","101.580","97.710","68.68K","-0.15%"
"Sep 1989","98.560","102.520","104.170","98.200","49.28K","-3.81%"
"Ago 1989","102.460","97.610","102.680","96.750","61.09K","5.18%"
"Jul 1989","97.410","101.120","101.320","97.250","73.10K","-4.71%"
"Jun 1989","102.220","102.810","106.520","100.600","54.19K","-0.79%"
"May 1989","103.030","98.060","104.350","97.810","71.71K","5.41%"
"Abr 1989","97.740","97.950","98.040","96.000","46.88K","-0.39%"
"Mar 1989","98.120","95.670","98.700","95.590","43.21K","3.43%"
